model,MAE_lakhs,RMSE_lakhs,MAPE_pct
"Holt-Winters (add trend, mul seasonality)",3.1699370005651706,4.877579391621012,3.4915823544471847
"Holt-Winters (mul trend, mul seasonality)",4.527577046846453,5.679809648364602,4.929600137409619
"Holt-Winters (add trend, add seasonality)",5.710469344150694,7.468943594182736,6.335160755114447
"Holt-Winters (mul trend, add seasonality)",8.237152538731362,8.75630722191014,10.104415025147585
Naive,17.889927130685606,23.87152912602053,19.020507538562526
Seasonal Naive,21.044328641604142,21.80730198134575,24.474537683798484
3-Month Moving Average,20.265999857847877,23.924213894558466,24.99117684615242
